Local time,Open,High,Low,Close,Volume
19.06.2020 23:00:00.000 GMT+0200,9259,9259,9259,9259,0
20.06.2020 23:00:00.000 GMT+0200,9259,9259,9259,9259,0
21.06.2020 23:00:00.000 GMT+0200,9253,9611,9217,9590,226.65419999999997
22.06.2020 23:00:00.000 GMT+0200,9590,9731,9524,9575,420.2478999999999
23.06.2020 23:00:00.000 GMT+0200,9575,9612,9146,9233,327.71290000000005
24.06.2020 23:00:00.000 GMT+0200,9233,9264,8940,9219,371.5144
25.06.2020 23:00:00.000 GMT+0200,9219,9279,8976,9132,392.4339999999999
26.06.2020 23:00:00.000 GMT+0200,9132,9132,9132,9132,0
27.06.2020 23:00:00.000 GMT+0200,9132,9132,9132,9132,0
28.06.2020 23:00:00.000 GMT+0200,9053,9138,8963,9124,460.1338999999999
29.06.2020 23:00:00.000 GMT+0200,9124,9179,9008,9090,484.78679999999997
30.06.2020 23:00:00.000 GMT+0200,9091,9241,9037,9184,471.1514
01.07.2020 23:00:00.000 GMT+0200,9184,9210,8892,9025,554.2063999999999
02.07.2020 23:00:00.000 GMT+0200,9025,9102,9002,9037,438.57499999999993
03.07.2020 23:00:00.000 GMT+0200,9037,9037,9037,9037,0
04.07.2020 23:00:00.000 GMT+0200,8974,8988,8974,8980,0.023
05.07.2020 23:00:00.000 GMT+0200,8952,9295,8870,9220,194.8783
06.07.2020 23:00:00.000 GMT+0200,9220,9323,9151,9200,323.12339999999995
07.07.2020 23:00:00.000 GMT+0200,9199,9420,9175,9376,308.6462
08.07.2020 23:00:00.000 GMT+0200,9376,9416,9109,9182,277.4548
09.07.2020 23:00:00.000 GMT+0200,9182,9200,9070,9175,229.9916
10.07.2020 23:00:00.000 GMT+0200,9175,9175,9175,9175,0
11.07.2020 23:00:00.000 GMT+0200,9205,9207,9191,9192,0.0416
12.07.2020 23:00:00.000 GMT+0200,9176,9287,9145,9193,3.0510999999999995
13.07.2020 23:00:00.000 GMT+0200,9187,9223,9070,9217,1.1114
14.07.2020 23:00:00.000 GMT+0200,9217,9221,9101,9157,0.6728000000000002
15.07.2020 23:00:00.000 GMT+0200,9154,9173,8977,9047,0.9242000000000001
16.07.2020 23:00:00.000 GMT+0200,9046,9126,9023,9109,0.5751
17.07.2020 23:00:00.000 GMT+0200,9109,9109,9109,9109,0
18.07.2020 23:00:00.000 GMT+0200,9072,9082,9058,9075,0.0476
19.07.2020 23:00:00.000 GMT+0200,9117,9180,9082,9120,0.6532999999999999
20.07.2020 23:00:00.000 GMT+0200,9118,9381,9098,9323,0.8905
21.07.2020 23:00:00.000 GMT+0200,9319,9344,9230,9322,0.4977999999999999
22.07.2020 23:00:00.000 GMT+0200,9319,9622,9313,9534,0.7139000000000002
23.07.2020 23:00:00.000 GMT+0200,9535,9566,9421,9537,0.42269999999999996
24.07.2020 23:00:00.000 GMT+0200,9537,9537,9537,9537,0
25.07.2020 23:00:00.000 GMT+0200,9958,9959,9902,9921,0.0897
26.07.2020 23:00:00.000 GMT+0200,9826,10895,9819,10827,1.9576000000000002
27.07.2020 23:00:00.000 GMT+0200,10825,11351,10534,10920,2.2897000000000003
28.07.2020 23:00:00.000 GMT+0200,10933,11240,10795,11162,1.4815
29.07.2020 23:00:00.000 GMT+0200,11163,11294,10797,11092,1.4054000000000002
30.07.2020 23:00:00.000 GMT+0200,11098,11398,10922,11271,0.8490999999999999
31.07.2020 23:00:00.000 GMT+0200,11569,11797,11514,11779,0.3419
01.08.2020 23:00:00.000 GMT+0200,11196,11214,10907,11050,0.2265
02.08.2020 23:00:00.000 GMT+0200,11034,11424,10908,11315,1.0359000000000003
03.08.2020 23:00:00.000 GMT+0200,11335,11365,10986,11155,0.6244999999999999
04.08.2020 23:00:00.000 GMT+0200,11159,11669,11045,11628,0.564
05.08.2020 23:00:00.000 GMT+0200,11641,11857,11498,11794,0.7348
06.08.2020 23:00:00.000 GMT+0200,11806,11860,11294,11452,0.6762
07.08.2020 23:00:00.000 GMT+0200,11452,11452,11452,11452,0
08.08.2020 23:00:00.000 GMT+0200,11452,11452,11452,11452,0
09.08.2020 23:00:00.000 GMT+0200,11618,12026,11463,11803,1.2681999999999998
10.08.2020 23:00:00.000 GMT+0200,11802,11885,11080,11154,2.0625
11.08.2020 23:00:00.000 GMT+0200,11138,11568,11072,11508,1.3462
12.08.2020 23:00:00.000 GMT+0200,11507,11606,11223,11553,1.4476999999999998
13.08.2020 23:00:00.000 GMT+0200,11591,11805,11569,11760,2.1233999999999997
14.08.2020 23:00:00.000 GMT+0200,11760,11760,11760,11760,0
15.08.2020 23:00:00.000 GMT+0200,11760,11760,11760,11760,0
16.08.2020 23:00:00.000 GMT+0200,11793,12420,11719,12271,2.2526000000000006
17.08.2020 23:00:00.000 GMT+0200,12269,12359,11780,11974,2.8766000000000003
18.08.2020 23:00:00.000 GMT+0200,11969,12037,11539,11659,4.0539
19.08.2020 23:00:00.000 GMT+0200,11661,11835,11622,11807,2.7992
20.08.2020 23:00:00.000 GMT+0200,11804,11837,11557,11620,2.4787
21.08.2020 23:00:00.000 GMT+0200,11515,11553,11496,11551,0.359
22.08.2020 23:00:00.000 GMT+0200,11485,11500,11470,11477,0.1555
23.08.2020 23:00:00.000 GMT+0200,11612,11769,11540,11676,1.8551000000000002
24.08.2020 23:00:00.000 GMT+0200,11666,11730,11067,11208,2.9933
25.08.2020 23:00:00.000 GMT+0200,11220,11485,11200,11453,1.9241
26.08.2020 23:00:00.000 GMT+0200,11454,11537,11072,11208,2.5164
27.08.2020 23:00:00.000 GMT+0200,11206,11494,11199,11454,2.1201999999999996
28.08.2020 23:00:00.000 GMT+0200,11409,11484,11381,11464,0.1873
29.08.2020 23:00:00.000 GMT+0200,11507,11547,11502,11544,0.1795
30.08.2020 23:00:00.000 GMT+0200,11579,11723,11527,11622,1.5534999999999999
31.08.2020 23:00:00.000 GMT+0200,11618,12005,11488,11971,2.6048999999999998
01.09.2020 23:00:00.000 GMT+0200,11965,12005,11165,11343,2.6906
02.09.2020 23:00:00.000 GMT+0200,11340,11452,10495,10764,4.511699999999999
03.09.2020 23:00:00.000 GMT+0200,10757,10778,9893,10578,3.7449999999999997
04.09.2020 23:00:00.000 GMT+0200,10578,10612,9831,10063,4.589200000000001
05.09.2020 23:00:00.000 GMT+0200,10063,10272,9935,10211,4.309800000000001
06.09.2020 23:00:00.000 GMT+0200,10304,10327,9864,10131,4.371
07.09.2020 23:00:00.000 GMT+0200,10126,10422,9906,9995,4.8982
08.09.2020 23:00:00.000 GMT+0200,9981,10328,9840,10240,3.3981999999999997
09.09.2020 23:00:00.000 GMT+0200,10231,10470,10160,10284,1.9464000000000001
10.09.2020 23:00:00.000 GMT+0200,10284,10362,10188,10304,0.5174000000000001
11.09.2020 23:00:00.000 GMT+0200,10303,10459,10257,10419,0.7956000000000003
12.09.2020 23:00:00.000 GMT+0200,10415,10559,10197,10295,0.5921000000000001
13.09.2020 23:00:00.000 GMT+0200,10295,10741,10232,10673,0.7777999999999999
14.09.2020 23:00:00.000 GMT+0200,10673,10917,10607,10847,0.9474999999999998
15.09.2020 23:00:00.000 GMT+0200,10847,11076,10649,10978,1.0163
16.09.2020 23:00:00.000 GMT+0200,10977,11026,10733,10920,0.8955
17.09.2020 23:00:00.000 GMT+0200,10920,11020,10801,10864,0.6923999999999999
18.09.2020 23:00:00.000 GMT+0200,10864,11157,10861,11073,0.8192999999999999
19.09.2020 23:00:00.000 GMT+0200,11065,11071,10748,10836,0.6886999999999999
20.09.2020 23:00:00.000 GMT+0200,10830,10972,10286,10460,0.9883
21.09.2020 23:00:00.000 GMT+0200,10458,10516,10341,10496,0.7393
22.09.2020 23:00:00.000 GMT+0200,10494,10554,10120,10204,0.7544
23.09.2020 23:00:00.000 GMT+0200,10203,10711,10177,10612,0.9002
24.09.2020 23:00:00.000 GMT+0200,10609,10773,10542,10692,0.8999000000000001
25.09.2020 23:00:00.000 GMT+0200,10692,10801,10634,10701,0.8234999999999999
26.09.2020 23:00:00.000 GMT+0200,10696,10783,10577,10707,0.7247
27.09.2020 23:00:00.000 GMT+0200,10707,10938,10688,10850,0.7693000000000001
28.09.2020 23:00:00.000 GMT+0200,10848,10868,10621,10736,0.7232999999999999
29.09.2020 23:00:00.000 GMT+0200,10736,10847,10648,10687,0.6308
30.09.2020 23:00:00.000 GMT+0200,10685,10908,10432,10588,0.6475
01.10.2020 23:00:00.000 GMT+0200,10586,10642,10366,10520,0.8686000000000001
02.10.2020 23:00:00.000 GMT+0200,10521,10581,10441,10552,0.7426
03.10.2020 23:00:00.000 GMT+0200,10552,10676,10508,10631,0.593
04.10.2020 23:00:00.000 GMT+0200,10624,10758,10609,10724,0.6007999999999999
05.10.2020 23:00:00.000 GMT+0200,10719,10781,10514,10527,0.6076999999999999
06.10.2020 23:00:00.000 GMT+0200,10526,10662,10511,10641,0.5801999999999999
07.10.2020 23:00:00.000 GMT+0200,10641,10941,10520,10878,0.612
08.10.2020 23:00:00.000 GMT+0200,10878,11096,10819,11017,0.5680000000000001
09.10.2020 23:00:00.000 GMT+0200,11017,11463,11002,11347,0.6785
10.10.2020 23:00:00.000 GMT+0200,11343,11421,11248,11310,0.5206000000000001
11.10.2020 23:00:00.000 GMT+0200,11306,11577,11184,11547,0.7329000000000001
12.10.2020 23:00:00.000 GMT+0200,11547,11709,11295,11415,0.8187999999999999
13.10.2020 23:00:00.000 GMT+0200,11415,11532,11278,11372,0.6548
14.10.2020 23:00:00.000 GMT+0200,11372,11607,11249,11526,0.6545
15.10.2020 23:00:00.000 GMT+0200,11522,11530,11197,11298,0.7594
16.10.2020 23:00:00.000 GMT+0200,11293,11384,11249,11333,0.5357999999999999
17.10.2020 23:00:00.000 GMT+0200,11329,11475,11318,11424,0.37729999999999997
18.10.2020 23:00:00.000 GMT+0200,11420,11817,11396,11714,0.6677999999999998
19.10.2020 23:00:00.000 GMT+0200,11714,12036,11668,11885,0.8803999999999998
20.10.2020 23:00:00.000 GMT+0200,11885,12901,11866,12837,1.0438
21.10.2020 23:00:00.000 GMT+0200,12837,13231,12684,13105,1.0674000000000001
22.10.2020 23:00:00.000 GMT+0200,13102,13185,12712,12925,0.9389
23.10.2020 23:00:00.000 GMT+0200,12918,13153,12859,13090,0.6892
24.10.2020 23:00:00.000 GMT+0200,13090,13334,12885,13017,0.7152000000000001
25.10.2020 22:00:00.000 GMT+0100,13015,13230,12769,12997,0.9100999999999999
26.10.2020 22:00:00.000 GMT+0100,12997,13743,12984,13606,0.8507999999999999
27.10.2020 22:00:00.000 GMT+0100,13606,13836,12884,13196,1.1955000000000005
28.10.2020 22:00:00.000 GMT+0100,13196,13633,12966,13474,0.9166000000000001
29.10.2020 22:00:00.000 GMT+0100,13475,13681,13110,13636,1.1892
